respuesta,emocion,pregunta
Al principio sentía satisfacción pero casi siempre se me quitaba al momento,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Buena satisfacción y experiencia,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Lograr entrar a la universidad fue una experiencia bastante satisfactoria, cuando me dieron la noticia me sentí feliz y aliviado, sin embargo esto también implicó un cambio en mi estilo de vida, tuve que irme de mi lugar de origen, ir a estudiar en otra ciudad, en otra estado de la Republica, en un lugar que no conocía y por primera vez en mi vida, vivir solo.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Obviamente impactó de manera positiva, ya que conseguir algo que deseas siempre resulta satisfactorio",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"El momento en el que tuve mi primera computadora era algo que realmente deseaba , porque durante mi vida academica , específicamente entre segundo de secundaria hasta 3° de bachillerato el tema con las computadoras y tecnología me llamaban la atención y me gustaba esas materias que relacionaba esas cosas de mi interés , entonces cuando entre ala universidad por cuestiones económicas no podía tener una computadora,fue que después comenzé a trabajar y con ayuda de mi papá pude tener esa primer computadora,la experiencia en lo personal fue entender cómo todo el trabajo que haces para conseguir las cosas valió la pena ,el impacto fue emotivo más que nada porque mi papá fue mi principal apoyo ,ya que había ocasiones en las que sentía que no lo iba a lograr , porque también había gastos en casa y bueno ,al final se logró y es algo que no olvidó , porque aprendí mucho y hasta la fecha es como mi tesoro más preciado esa computadora .",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"sí, fue una experiencia de satisfacción muy grande y de orgullo, desde ahí cada cosa que me propongo la trato de cumplir porque tengo la confianza de que lo lograré",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue una experiencia que me brindó felicidad y que me me planteó el que puedo lograr mis objetivos,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Me sentí feliz ya que fue algo que me ayudó a esforzarme para poder conseguir todo lo que me proponga.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Es una sensación de felicidad porque es algo que te ha costado trabajo lograr.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue una experiencia buena, que me hizo sentirme bien con migo mismo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Entrar a la uni quizá, mucha felicidad, nerviosismo y a la vez tranquilidad, de lograr algo por lo que me esforcé tanto y deseaba tanto. Tuvo un gran impacto ya que es la forma en que me estoy preparando para lograr otros objetivos.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Sentí una especie de sensación de alivio, como si fuera un pendiente menos y a la vez felicidad",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fui muy feliz y me sentí orgullosa,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Senti como toda la presion desaparecia, me senti muy feliz y con una sensacion de ir a por mas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Me sentí completo pero a la vez ambicioso por conseguir cada vez mas,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue una experiencia satisfactoria, me motivo a seguir adelante",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue impresionante, motivador y con total felicidad, y cambió mucho en la forma en cómo entendí cómo lograba mis objetivos",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Claro, me lleno de satisfacción lograr lo que quería pero después llega el sentimiento de codicia y piensas pude haber ido por un objeto aún más grande.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Un momento significativo podría haber sido cuando finalmente completé un proyecto largo y desafiante. La experiencia fue emocionante, ya que sentí que mi esfuerzo y dedicación habían valido la pena. Este logro aumentó mi confianza y me motivó a seguir trabajando en mis objetivos con más determinación.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Inesperado y muy agradable, me motivo a seguir adelante",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue una experiencia agradable y llena de emociones y tuvo un impacto positivo y lleno de aprendizaje,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Feliz, tuvo un impacto positivo.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Es algo que aún recuerdo y me anima siempre,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue como alcanzar algo que no creía posible y me hizo darme cuenta que nos podemos proponer metas alcanzables,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue satisfactorio y al mismo tiempo no sabia que podia llevar mi cuerpo al limite , y supe que podia hacer lo que me propusiera si mi cuerpo y mente estuvieran bien",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Una experiencia bastante satisfactoria, ya que te pones a pensar en cuanto te esperaste para poder conseguir, los sacrificios y el empeño que le pusiste. Un impacto bastante importante en mi vida, debido a que te hace reflexionar y cuestionarte que puedes lograr las cosas si te lo propones, sientes que nada puede pararte",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Si, fue liberador al poner ya tenerlo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Agradable, muy feliz",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Entrar a la universidad, me sentía ansiosos y fue un impacto que me hizo sentir seguro de mi",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Tuve experiencia muy gratificante y me motivo mucho,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Ingresar a la universidad y tener muchos deseos de aprender,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Anteriormente deseaba la oportunidad de tener una beca para solventar mis gastos de la escuela, metí en varias becas, pero no pude ser aceptada, hasta que me ofrecieron una en donde finalmente me quede, fue algo bueno para mi ya que pude pagar mis materiales de trabajo y otras cosas, además de que me ofrecen cursos gratuitos.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Si,  la experiencia fue muy gratificante y satisfactoria  y el impacto qué tuvo es seguir adelante",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Chido,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue emocionante y me causó altas espectativas,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Cuando me case, fue un cambio muy drástico pero es lo más bonito e importante que me ha y me está pasando",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
..,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"cuando logré entrar a la universidad; vi mi nombre en la lista de aceptados, sentí una mezcla de emoción, alivio y orgullo. Todo el esfuerzo, las horas de estudio y los momentos de duda finalmente habían valido la pena. Fue como si un peso enorme desapareciera de mis hombros, y en su lugar quedó una sensación de satisfacción indescriptible.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"YA NO SIENTO SENTIMIENTOS O EMOCIONES GRANDES, SOLO LO DISFRUTO PERO SIE TO QUE NO MERECE SER CELEBRADO",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Cuando logre algo que más quería sentí de manera inicial una emoción grande de entusiasmo y un sentimiento alivio dado a qué esperaba a que fuera así ,además que la manera que me impacto en mi vida fue grande dado a qué ese logro implicaba cambiarme de lugar y tener mis propias responsabilidades",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Buena,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Si lo recuerdo, fue una experiencia única y feliz, mejoro mi vida para bien",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue extraordinario, casi lloraba de la emoción … ¡Oo sii! Jaja",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Lograrlo, fue un momento de mucha felicidad, darme cuenta que la base de los resultados es la disciplina, el trabajo, el esfuerzo y la dedicación",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Idealizas más el hecho de lograrlo que cuando lo logras, no tuvo ningún impacto",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Para mí algo que realmente deseaba esa conseguir un internship y no hace mucho lo conseguí y la verdad me sentí bien pero tampoco muy emocionado, fue como una sensación de ya está hecho y ha impactado mi vida porque es una empresa muy buena con crecimiento",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Ninguna experiencia,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue cuando entrar a la universidad ya que había estudiado mucho para el exámen, y al ser aceptado mi familia me felicitó y me apoyo hasta el día de hoy",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue impactante para mi poder conseguirlo, positivo ya que sientes mayor confianza para aspirar a mas cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Tuvo un gran impacto en mi vida, porque eso iniciaría una nueva etapa, dónde tendría que irme lejos de casa, tendría un nuevo comienzo en otro lado, estando sola, cambiando la rutina de siempre, aunque fue algo que realmente deseaba modifico mucho mi vida, tuvo sus cosas buenas y malas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Única me sentí muy satisfecho y feliz de haberlo logrado hasta quería llorar de la emoción.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Gratificante, y aumento de confianza en uno mismo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Fue algo inesperado y muy emocionante, ya que fue una de mis metas de largo plazo que pude cumplir y esto mejoro mucho mi entorno social",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Mientras estaba intentándolo, la experiencia fue más bien estresante, pero sentía más determinación el momento en que lo logré fue más alivio que otra cosa",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue una experiencia muy satisfactoria ya que era una meta que tenía planteada de hace tiempo y tuvo un impacto positivo tanto personal como académicamente,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"La experiencia fue placentera, de alivio y paz. Un impacto significativo, de saber que puedo y debo hacer más por lograr aún más",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
Fue un momento de satisfacción total y tuvo un impacto positivo ya que me demostró que soy capaz de realizar muchas cosas,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
"Uno de los momentos más significativos en mi vida fue cuando logré entrar a la universidad que quería .Desde el principio, sabía que no sería un camino fácil, ya que tenía que prepararme bien para la admisión y enfrentar la incertidumbre de si lo lograría o no. Hubo momentos de estrés y dudas, por los cursos y exámenes.
Pero cuando finalmente vi mi nombre en la lista de aceptados, sentí una mezcla de emoción, alivio y orgullo. Fue un momento que me confirmó que el esfuerzo y la dedicación realmente valen la pena.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? 
