respuesta,emocion,pregunta,tokens,lemmas,texto_final
"Inicialmente me sentí feliz y emocionado, con una sensación de superación personal, pero esos sentimientos duraron poco, al pasar de los minutos me comencé a sentir como si nada de lo que hice hubiera pasado",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['inicialmente', 'sentí', 'feliz', 'emocionado', 'sensación', 'superación', 'personal', 'sentimientos', 'duraron', 'poco', 'pasar', 'minutos', 'comencé', 'sentir', 'nada', 'hice', 'pasado']","['inicialmente', 'sentir', 'feliz', 'emocionado', 'sensación', 'superación', 'personal', 'sentimiento', 'durar', 'poco', 'pasar', 'minuto', 'comencar', 'sentir', 'nada', 'hacer', 'pasado']",inicialmente sentir feliz emocionado sensación superación personal sentimiento durar poco pasar minuto comencar sentir nada hacer pasado
La experiencia fue muy emocionante y tuvo un gran impacto en mi vida porque gracias a eso me sentí aliviada y capaz,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['experiencia', 'muy', 'emocionante', 'gran', 'impacto', 'vida', 'porque', 'gracias', 'sentí', 'aliviada', 'capaz']","['experiencia', 'mucho', 'emocionante', 'gran', 'impacto', 'vida', 'porque', 'gracias', 'sentir', 'aliviado', 'capaz']",experiencia mucho emocionante gran impacto vida porque gracias sentir aliviado capaz
Sentí un gran alivio y me di cuenta de que puedo lograr lo que sea si realmente me lo propongo.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'gran', 'alivio', 'cuenta', 'puedo', 'lograr', 'realmente', 'propongo']","['sentir', 'gran', 'alivio', 'contar', 'poder', 'lograr', 'realmente', 'propongo']",sentir gran alivio contar poder lograr realmente propongo
Me siento más tranquilo por haber completado lo que me prometí.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['siento', 'tranquilo', 'haber', 'completado', 'prometí']","['sentir', 'tranquilo', 'haber', 'completar', 'prometí']",sentir tranquilo haber completar prometí
"Satisfactorio, cuando logro algo me siento en paz",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfactorio', 'cuando', 'logro', 'siento', 'paz']","['satisfactorio', 'cuando', 'lograr', 'siento', 'paz']",satisfactorio cuando lograr siento paz
"Feliz, realizada, es como perder el miedo de intentar otras cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['feliz', 'realizada', 'perder', 'miedo', 'intentar', 'cosas']","['feliz', 'realizado', 'perder', 'miedo', 'intentar', 'cosa']",feliz realizado perder miedo intentar cosa
"Muy gratificante, ya que me ayudó a seguirme forjando en mi carrera",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'gratificante', 'ayudó', 'seguirme', 'forjando', 'carrera']","['mucho', 'gratificante', 'ayudar', 'seguir yo', 'forjar', 'carrera']",mucho gratificante ayudar seguir yo forjar carrera
"Pues fue algo raro. La última vez que logré algo que en verdad deseaba momentos antes que lo obtuviera me sentía con muchos nervios y emoción y cuando lo obtuve solo fue como paz, satisfacción, no fue una alegría inmensa sino solo me sentí bien.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['pues', 'raro', 'última', 'vez', 'logré', 'verdad', 'deseaba', 'momentos', 'obtuviera', 'sentía', 'nervios', 'emoción', 'cuando', 'obtuve', 'solo', 'paz', 'satisfacción', 'alegría', 'inmensa', 'sino', 'solo', 'sentí', 'bien']","['pues', 'rarir', 'último', 'vez', 'logré', 'verdad', 'desear', 'momento', 'obtuviera', 'sentir', 'nervio', 'emoción', 'cuando', 'obtener', 'solo', 'paz', 'satisfacción', 'alegría', 'inmenso', 'sino', 'solo', 'sentir', 'bien']",pues rarir último vez logré verdad desear momento obtuviera sentir nervio emoción cuando obtener solo paz satisfacción alegría inmenso sino solo sentir bien
Satisfactorio porque era algo que quería desde hace años,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfactorio', 'porque', 'quería', 'hace', 'años']","['satisfactorio', 'porque', 'querer', 'hacer', 'año']",satisfactorio porque querer hacer año
Me hizo sentir que aporte algo bueno,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['hizo', 'sentir', 'aporte', 'bueno']","['hacer', 'sentir', 'aporte', 'bueno']",hacer sentir aporte bueno
"Fue una buena experiencia, recuerdo que mis papás estaban muy felices de que pasé el examen de admisión a la Buap",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['buena', 'experiencia', 'recuerdo', 'papás', 'muy', 'felices', 'pasé', 'examen', 'admisión', 'buap']","['buen', 'experiencia', 'recordar', 'papás', 'mucho', 'feliz', 'pasé', 'examen', 'admisión', 'buap']",buen experiencia recordar papás mucho feliz pasé examen admisión buap
"La experiencia fue bastante impactante, porque recuerdo que entré al bachillerato 5 de mayo cuando solamente era mi unica opción y el haber logrado pasar todos los filtros de admisión y poder ser parte de ese plantel fue algo que de verdad me cabió nla vida y me cambió mucho la perspectiva en que actualmente veo el mundo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['experiencia', 'bastante', 'impactante', 'porque', 'recuerdo', 'entré', 'bachillerato', 'mayo', 'cuando', 'solamente', 'unica', 'opción', 'haber', 'logrado', 'pasar', 'filtros', 'admisión', 'poder', 'ser', 'parte', 'plantel', 'verdad', 'cabió', 'nla', 'vida', 'cambió', 'mucho', 'perspectiva', 'actualmente', 'veo', 'mundo']","['experiencia', 'bastante', 'impactante', 'porque', 'recordar', 'entré', 'bachillerato', 'mayo', 'cuando', 'solamente', 'unico', 'opción', 'haber', 'lograr', 'pasar', 'filtro', 'admisión', 'poder', 'ser', 'parte', 'plantel', 'verdad', 'caber', 'nla', 'vida', 'cambiar', 'mucho', 'perspectiva', 'actualmente', 'ver', 'mundo']",experiencia bastante impactante porque recordar entré bachillerato mayo cuando solamente unico opción haber lograr pasar filtro admisión poder ser parte plantel verdad caber nla vida cambiar mucho perspectiva actualmente ver mundo
Muy satisfactorio porque se siente muy bien poder conseguir una meta puesta a mediano o largo plazo,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'satisfactorio', 'porque', 'muy', 'bien', 'poder', 'conseguir', 'meta', 'puesta', 'mediano', 'largo', 'plazo']","['mucho', 'satisfactorio', 'porque', 'mucho', 'bien', 'poder', 'conseguir', 'meta', 'puesta', 'mediano', 'largo', 'plazo']",mucho satisfactorio porque mucho bien poder conseguir meta puesta mediano largo plazo
"Increíble, subió mucho mi autoestima y me mantuve motivado por unos meses",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['increíble', 'subió', 'mucho', 'autoestima', 'mantuve', 'motivado', 'meses']","['increíble', 'subir', 'mucho', 'autoestima', 'mantuve', 'motivado', 'mes']",increíble subir mucho autoestima mantuve motivado mes
"Fue una experiencia con muchas emociones, principalmente emoción, felicidad. Impacto de forma positiva la manera de ver las cosas",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['experiencia', 'muchas', 'emociones', 'principalmente', 'emoción', 'felicidad', 'impacto', 'forma', 'positiva', 'manera', 'ver', 'cosas']","['experiencia', 'mucho', 'emoción', 'principalmente', 'emoción', 'felicidad', 'impacto', 'formar', 'positivo', 'manera', 'ver', 'cosa']",experiencia mucho emoción principalmente emoción felicidad impacto formar positivo manera ver cosa
Fue satisfactoria y motivacional para el futuro.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfactoria', 'motivacional', 'futuro']","['satisfactorio', 'motivacional', 'futuro']",satisfactorio motivacional futuro
"Fue satisfactoria, llena de felicidad y gratificante por todo el esfuerzo realizado",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfactoria', 'llena', 'felicidad', 'gratificante', 'esfuerzo', 'realizado']","['satisfactorio', 'lleno', 'felicidad', 'gratificante', 'esfuerzo', 'realizado']",satisfactorio lleno felicidad gratificante esfuerzo realizado
"Muy satisfactorio, me lleno de mucha alegría saber que tanto esfuerzo dedicado haya valido totalmente la pena y que se haya logrado el objetivo. Fue un impacto grande ya que determinada mucho mi futuro.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'satisfactorio', 'lleno', 'mucha', 'alegría', 'saber', 'esfuerzo', 'dedicado', 'valido', 'totalmente', 'pena', 'logrado', 'objetivo', 'impacto', 'grande', 'determinada', 'mucho', 'futuro']","['mucho', 'satisfactorio', 'lleno', 'mucho', 'alegría', 'saber', 'esfuerzo', 'dedicado', 'valido', 'totalmente', 'pena', 'logrado', 'objetivo', 'impacto', 'grande', 'determinado', 'mucho', 'futuro']",mucho satisfactorio lleno mucho alegría saber esfuerzo dedicado valido totalmente pena logrado objetivo impacto grande determinado mucho futuro
"Muy feliz, emocionante",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'feliz', 'emocionante']","['mucho', 'feliz', 'emocionante']",mucho feliz emocionante
Fue muy bonito y me motivó a echarle aún más ganas,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['muy', 'bonito', 'motivó', 'echarle', 'aún', 'ganas']","['mucho', 'bonito', 'motivó', 'echar él', 'aún', 'gana']",mucho bonito motivó echar él aún gana
Felicidad,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,['felicidad'],['felicidad'],felicidad
"Si, me sentí alegre con una emoción que no puedo describir, así como un peso menos y reflexionando lo que pase para lograrlo",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'alegre', 'emoción', 'puedo', 'describir', 'así', 'peso', 'menos', 'reflexionando', 'pase', 'lograrlo']","['sentir', 'alegre', 'emoción', 'poder', 'describir', 'así', 'peso', 'menos', 'reflexionar', 'pase', 'lograr él']",sentir alegre emoción poder describir así peso menos reflexionar pase lograr él
"Suspire y seguí, sin mas, no me emociono realmente",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['suspire', 'seguí', 'sin', 'mas', 'emociono', 'realmente']","['suspire', 'seguí', 'sin', 'mos', 'emociono', 'realmente']",suspire seguí sin mos emociono realmente
Creo que fue algo muy emocionante y me dio más seguridad en mis capacidades,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['creo', 'muy', 'emocionante', 'dio', 'seguridad', 'capacidades']","['creer', 'mucho', 'emocionante', 'dar', 'seguridad', 'capacidad']",creer mucho emocionante dar seguridad capacidad
"Fue una sensación de satisfacción aunque paso pronto, ya que tenia que enfocarme en otros temas, pero en su momento fue placentero el ver que había logrado lo que tenía propuesto",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sensación', 'satisfacción', 'aunque', 'paso', 'pronto', 'tenia', 'enfocarme', 'temas', 'momento', 'placentero', 'ver', 'logrado', 'propuesto']","['sensación', 'satisfacción', 'aunque', 'pasar', 'pronto', 'tenio', 'enfocarme', 'tema', 'momento', 'placentero', 'ver', 'logrado', 'propuesto']",sensación satisfacción aunque pasar pronto tenio enfocarme tema momento placentero ver logrado propuesto
"Fue el día que compre mi primera laptop gamer con mi propio esfuerzo. Fue una de las más mejores sensaciones de satisfacción que eh presentado a lo largo de mi vida, pues usualmente soy una persona que se limita mucho con lo que quiere comprar por no tener el capital. 
Pero el hecho de en ese periodos de tiempo ahorrar y saber cómo cuidar mi dinero me llevo a poder conseguir mi pequeño artículo que tanto anhelaba de más pequeño.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['día', 'compre', 'primera', 'laptop', 'gamer', 'propio', 'esfuerzo', 'mejores', 'sensaciones', 'satisfacción', 'presentado', 'largo', 'vida', 'pues', 'usualmente', 'persona', 'limita', 'mucho', 'quiere', 'comprar', 'tener', 'capital', 'hecho', 'periodos', 'tiempo', 'ahorrar', 'saber', 'cómo', 'cuidar', 'dinero', 'llevo', 'poder', 'conseguir', 'pequeño', 'artículo', 'anhelaba', 'pequeño']","['día', 'compre', 'primero', 'laptop', 'gamer', 'propio', 'esfuerzo', 'mejor', 'sensación', 'satisfacción', 'presentado', 'largo', 'vida', 'pues', 'usualmente', 'persona', 'limitar', 'mucho', 'querer', 'comprar', 'tener', 'capital', 'hecho', 'periodo', 'tiempo', 'ahorrar', 'saber', 'cómo', 'cuidar', 'dinero', 'llevar', 'poder', 'conseguir', 'pequeño', 'artículo', 'anhelar', 'pequeño']",día compre primero laptop gamer propio esfuerzo mejor sensación satisfacción presentado largo vida pues usualmente persona limitar mucho querer comprar tener capital hecho periodo tiempo ahorrar saber cómo cuidar dinero llevar poder conseguir pequeño artículo anhelar pequeño
Al quedar aceptado en la universidad me dió sentimiento de felicidad por el esfuerzo que realice durante mi trayectoria estudiantil,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['quedar', 'aceptado', 'universidad', 'dió', 'sentimiento', 'felicidad', 'esfuerzo', 'realice', 'trayectoria', 'estudiantil']","['quedar', 'aceptado', 'universidad', 'deír', 'sentimiento', 'felicidad', 'esfuerzo', 'realizar', 'trayectoria', 'estudiantil']",quedar aceptado universidad deír sentimiento felicidad esfuerzo realizar trayectoria estudiantil
Independizarme. Fue increíble lograrlo porque aprendí muchas cosas.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['independizarme', 'increíble', 'lograrlo', 'porque', 'aprendí', 'muchas', 'cosas']","['independizarme', 'increíble', 'lograr él', 'porque', 'aprender', 'mucho', 'cosa']",independizarme increíble lograr él porque aprender mucho cosa
Una satisfacción enorme. El impacto fue que me sentí capas de lograr lo que sea cuando antes no era así.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['satisfacción', 'enorme', 'impacto', 'sentí', 'capas', 'lograr', 'cuando', 'así']","['satisfacción', 'enorme', 'impacto', 'sentir', 'capa', 'lograr', 'cuando', 'así']",satisfacción enorme impacto sentir capa lograr cuando así
Mucha alegría y una sensación de estar realizado y completo.,Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['mucha', 'alegría', 'sensación', 'realizado', 'completo']","['mucho', 'alegría', 'sensación', 'realizado', 'completo']",mucho alegría sensación realizado completo
"Recuerdo que hace un tiempo cundo apenas empezaba a programar, me enseñaban el lenguaje c++ y orientado a objetos, al inicio realmente me costaba mucho pero conforme avanzaba e investigaba me sentía cada vez más y más capaz. Al final del curso me dejaron un proyecto que logré concluir correctamente, eso hizo que tomara confianza en mi y que me sintiera más capaz en la carrera.",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['recuerdo', 'hace', 'tiempo', 'cundo', 'apenas', 'empezaba', 'programar', 'enseñaban', 'lenguaje', 'orientado', 'objetos', 'inicio', 'realmente', 'costaba', 'mucho', 'conforme', 'avanzaba', 'investigaba', 'sentía', 'cada', 'vez', 'capaz', 'final', 'curso', 'dejaron', 'proyecto', 'logré', 'concluir', 'correctamente', 'hizo', 'tomara', 'confianza', 'sintiera', 'capaz', 'carrera']","['recordar', 'hacer', 'tiempo', 'cundo', 'apenas', 'empezar', 'programar', 'enseñar', 'lenguaje', 'orientado', 'objeto', 'inicio', 'realmente', 'costar', 'mucho', 'conforme', 'avanzar', 'investigar', 'sentir', 'cada', 'vez', 'capaz', 'final', 'curso', 'dejar', 'proyecto', 'logré', 'concluir', 'correctamente', 'hacer', 'tomara', 'confianza', 'sintiero', 'capaz', 'carrera']",recordar hacer tiempo cundo apenas empezar programar enseñar lenguaje orientado objeto inicio realmente costar mucho conforme avanzar investigar sentir cada vez capaz final curso dejar proyecto logré concluir correctamente hacer tomara confianza sintiero capaz carrera
"Me sentí muy bien, pero no tuvo gran impacto",Felicidad,1.  Recuerda un momento en el que lograste algo que realmente deseabas. ¿Cómo fue la experiencia y qué impacto tuvo en tu vida? ,"['sentí', 'muy', 'bien', 'gran', 'impacto']","['sentir', 'mucho', 'bien', 'gran', 'impacto']",sentir mucho bien gran impacto
